Num,P1,P2,P3,P4,P6,P7,P8,P9,P10,P11,P22,P23,P24,P25,P26,P27,P48,P49,P50,P51,P52,P53,P54,P55,P56,P57,P60,P61,P62,P63,P64,P65,P66,P67,P68,P69,P70,P71,P72,P73,P74,P75,P76,P77,P78,P79,P80,P81,P82,P83,P84,P85,P86,P87,P88,P89,P90,P91
6810f327dffbf6259adb72a4,24.0,2.0,1.0,7.0,4.0,3.0,10.0,10.0,1.0,1.0,9.0,5.0,9.0,5.0,8.0,7.0,4.0,3.0,9.0,7.0,9.0,6.0,3.0,5.0,7.0,2.0,7.0,4.0,8.0,4.0,8.0,3.0,2.0,4.0,4.0,9.0,8.0,7.0,9.0,5.0,9.0,5.0,3.0,3.0,1.0,3.0,1.0,1.0,3.0,1.0,1.0,4.0,9.0,7.0,5.0,9.0,2.0,9.0
6819d437b7565851d1f4ff01,28.0,1.0,4.0,2.0,3.0,3.0,5.0,1.0,1.0,1.0,6.0,5.0,5.0,5.0,5.0,5.0,3.0,3.0,5.0,5.0,5.0,5.0,4.0,7.0,7.0,7.0,1.0,5.0,5.0,0.0,10.0,8.0,1.0,5.0,10.0,5.0,0.0,7.0,10.0,10.0,5.0,5.0,5.0,6.0,6.0,2.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,8.0,4.0,8.0,5.0,8.0
6812614f663fbd555327710f,26.0,1.0,3.0,8.0,3.0,1.0,4.0,3.0,1.0,1.0,9.0,0.0,0.0,3.0,0.0,0.0,2.0,1.0,3.0,0.0,0.0,0.0,0.0,3.0,8.0,6.0,10.0,10.0,0.0,10.0,9.0,10.0,1.0,10.0,7.0,0.0,0.0,0.0,0.0,10.0,1.0,6.0,1.0,8.0,10.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,3.0,0.0,2.0,9.0,10.0
68149c6cb7565851d1f4a9f0,27.0,1.0,1.0,8.0,4.0,1.0,6.0,0.0,2.0,1.0,5.0,5.0,5.0,5.0,5.0,5.0,3.0,3.0,5.0,4.0,4.0,5.0,5.0,5.0,5.0,6.0,7.0,6.0,2.0,10.0,8.0,10.0,1.0,9.0,10.0,2.0,0.0,3.0,1.0,8.0,3.0,4.0,0.0,6.0,8.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0,0.0,7.0,3.0,6.0,5.0,9.0
68136ebb663fbd5553277df3,22.0,1.0,2.0,4.0,2.0,1.0,0.0,0.0,1.0,1.0,5.0,5.0,5.0,5.0,5.0,5.0,1.0,1.0,2.0,3.0,1.0,2.0,0.0,1.0,7.0,7.0,10.0,10.0,1.0,10.0,8.0,10.0,1.0,10.0,10.0,0.0,0.0,0.0,0.0,10.0,2.0,0.0,0.0,10.0,10.0,3.0,1.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0
681a50273a2c5c4cebccbcd1,16.0,1.0,2.0,3.0,2.0,1.0,5.0,5.0,1.0,1.0,10.0,10.0,10.0,10.0,10.0,10.0,1.0,2.0,5.0,6.0,7.0,5.0,4.0,7.0,8.0,3.0,10.0,0.0,10.0,0.0,10.0,10.0,2.0,10.0,10.0,10.0,,10.0,10.0,,,,,,,4.0,4.0,4.0,3.0,3.0,3.0,,,,,,,
680a6b4a0cf8ca72a36964e1,29.0,2.0,1.0,6.0,2.0,1.0,2.0,3.0,1.0,1.0,6.0,6.0,6.0,6.0,6.0,6.0,5.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,5.0,5.0,5.0,5.0,5.0,5.0,2.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,1.0,1.0,1.0,1.0,1.0,1.0,6.0,6.0,4.0,5.0,6.0,6.0,6.0
681b3ea73a2c5c4cebccd572,22.0,1.0,3.0,7.0,2.0,1.0,5.0,5.0,4.0,2.0,5.0,5.0,5.0,5.0,5.0,5.0,1.0,1.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,2.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
681bca2e4cc07607d7c5e20a,27.0,2.0,4.0,8.0,2.0,1.0,5.0,5.0,1.0,3.0,5.0,4.0,5.0,5.0,5.0,6.0,3.0,,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,7.0,8.0,0.0,7.0,10.0,7.0,2.0,0.0,10.0,10.0,6.0,10.0,10.0,10.0,5.0,0.0,10.0,0.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,10.0,10.0,10.0,0.0,10.0
681d0bcb4cc07607d7c61594,19.0,2.0,2.0,3.0,2.0,1.0,10.0,6.0,2.0,1.0,3.0,3.0,6.0,10.0,10.0,10.0,2.0,3.0,10.0,10.0,10.0,,,,,,,,,,,,2.0,,,,,,,,,,,,,4.0,4.0,4.0,1.0,1.0,1.0,,,,,,,
681b46bd825adf3cfd09d513,22.0,1.0,4.0,2.0,3.0,1.0,0.0,0.0,1.0,1.0,0.0,6.0,7.0,5.0,6.0,6.0,1.0,1.0,5.0,7.0,5.0,2.0,8.0,5.0,5.0,8.0,7.0,10.0,8.0,7.0,2.0,6.0,2.0,6.0,5.0,5.0,5.0,6.0,5.0,9.0,4.0,6.0,6.0,8.0,9.0,2.0,2.0,2.0,2.0,2.0,2.0,6.0,0.0,7.0,10.0,10.0,6.0,5.0
681b3a8e3a2c5c4cebccd1ab,23.0,1.0,3.0,7.0,1.0,3.0,8.0,8.0,1.0,2.0,9.0,8.0,10.0,8.0,8.0,10.0,2.0,2.0,3.0,2.0,1.0,1.0,4.0,3.0,4.0,9.0,9.0,7.0,9.0,8.0,8.0,9.0,2.0,9.0,9.0,9.0,10.0,9.0,9.0,9.0,8.0,9.0,9.0,7.0,9.0,3.0,1.0,2.0,2.0,1.0,2.0,1.0,9.0,7.0,6.0,3.0,7.0,9.0
680a14972b8d3e4048c0f30d,28.0,2.0,1.0,7.0,4.0,1.0,6.0,2.0,1.0,1.0,3.0,3.0,5.0,7.0,5.0,7.0,4.0,4.0,4.0,4.0,4.0,5.0,0.0,4.0,4.0,10.0,8.0,6.0,1.0,9.0,10.0,8.0,1.0,10.0,0.0,0.0,0.0,4.0,4.0,10.0,9.0,0.0,0.0,6.0,6.0,2.0,1.0,1.0,2.0,1.0,1.0,0.0,0.0,2.0,8.0,3.0,6.0,10.0
681b3c624ec18b143973a8fe,26.0,1.0,1.0,5.0,4.0,1.0,6.0,8.0,4.0,1.0,2.0,3.0,4.0,8.0,6.0,6.0,2.0,2.0,7.0,5.0,5.0,4.0,2.0,3.0,2.0,2.0,10.0,10.0,0.0,8.0,10.0,8.0,2.0,6.0,6.0,0.0,0.0,0.0,4.0,10.0,0.0,0.0,0.0,6.0,9.0,2.0,1.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0
681a0a1f4ec18b143970b339,25.0,1.0,4.0,3.0,2.0,1.0,,,1.0,3.0,6.0,5.0,5.0,5.0,5.0,5.0,3.0,2.0,7.0,6.0,5.0,4.0,8.0,10.0,10.0,9.0,5.0,6.0,0.0,10.0,0.0,10.0,2.0,6.0,10.0,5.0,10.0,6.0,6.0,10.0,5.0,3.0,5.0,9.0,10.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,7.0,7.0,7.0,6.0,10.0
681b534f30e2084bbe9372c9,29.0,1.0,3.0,6.0,4.0,3.0,7.0,7.0,1.0,1.0,1.0,1.0,5.0,5.0,5.0,5.0,1.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,7.0,8.0,10.0,10.0,5.0,8.0,10.0,0.0,1.0,5.0,10.0,0.0,10.0,10.0,10.0,10.0,10.0,5.0,0.0,10.0,10.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0,0.0,7.0,0.0,10.0,7.0,10.0
681b995a4cc07607d7c5d896,17.0,2.0,2.0,3.0,2.0,1.0,9.0,10.0,2.0,1.0,5.0,5.0,5.0,5.0,5.0,5.0,3.0,2.0,8.0,2.0,6.0,3.0,9.0,3.0,6.0,5.0,10.0,7.0,5.0,6.0,9.0,4.0,1.0,6.0,5.0,7.0,0.0,4.0,8.0,6.0,7.0,7.0,5.0,10.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,5.0,6.0,6.0,7.0,6.0,4.0
6821ac09575dc75aa1b90a7d,18.0,2.0,2.0,4.0,6.0,1.0,5.0,5.0,1.0,2.0,3.0,4.0,6.0,6.0,7.0,5.0,2.0,2.0,7.0,5.0,5.0,5.0,5.0,5.0,5.0,9.0,4.0,3.0,0.0,,,4.0,,4.0,10.0,7.0,8.0,9.0,7.0,10.0,10.0,9.0,9.0,0.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,2.0,10.0,8.0,10.0,0.0,8.0
6821a64228ba9f2e9c38d289,18.0,2.0,3.0,5.0,2.0,1.0,8.0,6.0,1.0,1.0,3.0,4.0,4.0,8.0,9.0,8.0,6.0,6.0,5.0,5.0,5.0,5.0,4.0,5.0,6.0,10.0,3.0,0.0,0.0,1.0,7.0,7.0,2.0,0.0,6.0,10.0,5.0,8.0,10.0,10.0,7.0,7.0,9.0,1.0,5.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,4.0,10.0,6.0,10.0,0.0,2.0
680d4e6e0cf8ca72a3699421,29.0,1.0,3.0,6.0,2.0,1.0,7.0,8.0,1.0,2.0,8.0,8.0,9.0,8.0,7.0,7.0,1.0,1.0,8.0,8.0,8.0,7.0,7.0,7.0,9.0,8.0,8.0,8.0,7.0,7.0,8.0,7.0,1.0,6.0,7.0,6.0,7.0,7.0,7.0,8.0,8.0,6.0,7.0,7.0,8.0,2.0,1.0,3.0,1.0,1.0,1.0,8.0,6.0,7.0,6.0,8.0,7.0,7.0
681b4e6530e2084bbe9370cf,17.0,4.0,2.0,3.0,2.0,2.0,1.0,5.0,1.0,2.0,5.0,5.0,5.0,5.0,5.0,5.0,3.0,6.0,4.0,4.0,0.0,1.0,0.0,1.0,8.0,3.0,8.0,10.0,3.0,10.0,2.0,8.0,1.0,9.0,9.0,2.0,0.0,0.0,0.0,10.0,0.0,5.0,1.0,9.0,9.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,3.0,4.0,1.0,8.0,6.0
681892cb663fbd555327c981,25.0,1.0,3.0,8.0,2.0,1.0,4.0,3.0,1.0,3.0,3.0,1.0,6.0,7.0,3.0,5.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,9.0,5.0,5.0,1.0,7.0,6.0,0.0,0.0,0.0,6.0,8.0,,0.0,1.0,7.0,8.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,2.0,0.0,8.0,1.0
6815f89f663fbd555327aa38,25.0,2.0,1.0,4.0,2.0,1.0,5.0,5.0,1.0,1.0,4.0,5.0,5.0,6.0,6.0,5.0,3.0,3.0,4.0,4.0,4.0,5.0,3.0,2.0,4.0,10.0,6.0,6.0,4.0,5.0,5.0,2.0,1.0,6.0,10.0,3.0,6.0,7.0,7.0,7.0,,4.0,3.0,7.0,9.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,7.0,6.0,6.0,5.0,7.0
6819dec0663fbd555327dfc5,26.0,2.0,7.0,1.0,4.0,1.0,7.0,10.0,1.0,1.0,1.0,5.0,5.0,8.0,8.0,8.0,4.0,4.0,3.0,5.0,2.0,5.0,5.0,7.0,9.0,10.0,2.0,0.0,10.0,0.0,0.0,8.0,2.0,0.0,,10.0,10.0,10.0,10.0,0.0,,8.0,,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,5.0,10.0,8.0,10.0,5.0,7.0
68109a70dffbf6259adb64f7,26.0,1.0,3.0,8.0,2.0,1.0,8.0,5.0,1.0,1.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,2.0,5.0,5.0,8.0,4.0,5.0,,7.0,10.0,4.0,1.0,10.0,10.0,8.0,,10.0,10.0,10.0,5.0,10.0,9.0,0.0,7.0,2.0,2.0,1.0,1.0,1.0,1.0,0.0,6.0,10.0,4.0,10.0,3.0,3.0
681b6c8730e2084bbe937fe4,28.0,2.0,1.0,8.0,2.0,1.0,5.0,7.0,1.0,1.0,3.0,5.0,1.0,8.0,7.0,7.0,4.0,3.0,5.0,5.0,5.0,3.0,3.0,5.0,5.0,7.0,6.0,5.0,4.0,5.0,5.0,5.0,1.0,10.0,7.0,5.0,,6.0,5.0,10.0,6.0,6.0,8.0,5.0,6.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,2.0,6.0,3.0,7.0,2.0,7.0
6821c64d28ba9f2e9c38e025,18.0,1.0,2.0,3.0,2.0,1.0,5.0,7.0,2.0,3.0,5.0,0.0,8.0,7.0,4.0,8.0,3.0,3.0,6.0,5.0,7.0,8.0,1.0,4.0,5.0,8.0,8.0,8.0,8.0,9.0,6.0,3.0,2.0,5.0,6.0,4.0,4.0,6.0,6.0,5.0,6.0,6.0,8.0,6.0,8.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,4.0,5.0,6.0,4.0,9.0,6.0
681b3ead3a2c5c4cebccd574,24.0,1.0,1.0,8.0,4.0,1.0,2.0,7.0,1.0,1.0,2.0,2.0,5.0,9.0,8.0,9.0,2.0,2.0,4.0,2.0,0.0,7.0,0.0,5.0,5.0,10.0,8.0,10.0,0.0,9.0,9.0,9.0,1.0,10.0,10.0,0.0,0.0,0.0,0.0,10.0,8.0,0.0,0.0,10.0,10.0,2.0,1.0,4.0,2.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,10.0,10.0
681b42614ec18b143973acf8,28.0,1.0,1.0,8.0,4.0,1.0,10.0,8.0,1.0,1.0,7.0,9.0,7.0,10.0,9.0,10.0,1.0,2.0,9.0,8.0,9.0,9.0,6.0,10.0,8.0,6.0,10.0,10.0,9.0,9.0,5.0,3.0,2.0,10.0,9.0,10.0,6.0,8.0,10.0,8.0,9.0,6.0,2.0,10.0,6.0,2.0,1.0,1.0,1.0,1.0,1.0,8.0,2.0,7.0,9.0,10.0,10.0,8.0
680b94412b8d3e4048c11a29,17.0,2.0,2.0,3.0,2.0,1.0,7.0,7.0,1.0,1.0,3.0,3.0,7.0,8.0,9.0,8.0,5.0,5.0,5.0,5.0,4.0,5.0,3.0,5.0,9.0,5.0,6.0,5.0,7.0,5.0,9.0,7.0,2.0,4.0,8.0,10.0,10.0,8.0,10.0,10.0,,0.0,10.0,5.0,7.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,0.0,10.0,1.0,10.0,2.0,8.0
681b43f200e3f943e43af250,26.0,1.0,1.0,4.0,4.0,1.0,10.0,9.0,1.0,1.0,10.0,10.0,9.0,10.0,9.0,10.0,3.0,2.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,2.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,5.0,5.0,5.0,5.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
6821a871575dc75aa1b90903,18.0,1.0,2.0,6.0,2.0,1.0,,8.0,4.0,3.0,5.0,0.0,,5.0,5.0,5.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,5.0,2.0,5.0,10.0,10.0,1.0,6.0,,0.0,1.0,9.0,0.0,0.0,0.0,0.0,0.0,10.0,,0.0,0.0,10.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,7.0,2.0,2.0,10.0,10.0
6821a96228ba9f2e9c38d67d,19.0,2.0,2.0,4.0,6.0,1.0,2.0,6.0,1.0,3.0,4.0,4.0,5.0,5.0,5.0,5.0,,4.0,5.0,5.0,4.0,5.0,2.0,3.0,7.0,7.0,8.0,9.0,2.0,8.0,7.0,,1.0,7.0,7.0,3.0,1.0,2.0,1.0,8.0,3.0,4.0,4.0,,,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0,2.0,2.0,,,1.0
680aa1812b8d3e4048c104c8,28.0,2.0,1.0,4.0,2.0,1.0,10.0,10.0,1.0,1.0,10.0,10.0,,10.0,10.0,9.0,3.0,3.0,10.0,10.0,8.0,9.0,9.0,9.0,9.0,7.0,,,,,,,2.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,5.0,5.0,5.0,5.0,0.0,0.0,10.0,10.0,10.0,0.0,10.0
6821e7ed28ba9f2e9c39148e,21.0,2.0,2.0,6.0,1.0,1.0,3.0,3.0,5.0,1.0,2.0,2.0,2.0,7.0,8.0,5.0,3.0,3.0,3.0,3.0,3.0,7.0,2.0,5.0,8.0,8.0,4.0,5.0,7.0,,,0.0,2.0,10.0,9.0,0.0,2.0,5.0,3.0,9.0,,5.0,8.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,0.0,6.0,8.0,8.0,3.0,9.0
6810c98e1423ac2bd36b54e5,26.0,1.0,1.0,8.0,2.0,1.0,4.0,0.0,1.0,3.0,0.0,5.0,5.0,5.0,5.0,5.0,2.0,4.0,5.0,7.0,10.0,5.0,10.0,5.0,0.0,5.0,10.0,10.0,10.0,10.0,10.0,10.0,1.0,10.0,10.0,0.0,0.0,0.0,0.0,10.0,0.0,7.0,0.0,10.0,10.0,1.0,1.0,1.0,1.0,1.0,1.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
681d061a4cc07607d7c6135b,17.0,1.0,2.0,2.0,2.0,1.0,0.0,10.0,4.0,1.0,6.0,6.0,6.0,4.0,,,3.0,3.0,10.0,5.0,8.0,5.0,,6.0,5.0,8.0,,,,0.0,8.0,5.0,2.0,6.0,4.0,0.0,6.0,0.0,5.0,5.0,5.0,4.0,5.0,5.0,6.0,1.0,1.0,1.0,1.0,1.0,1.0,,3.0,6.0,3.0,4.0,6.0,4.0
681b445900e3f943e43af295,24.0,2.0,1.0,3.0,2.0,1.0,6.0,6.0,1.0,3.0,6.0,8.0,7.0,7.0,7.0,6.0,3.0,3.0,5.0,5.0,8.0,8.0,5.0,8.0,7.0,7.0,3.0,3.0,3.0,4.0,6.0,5.0,1.0,5.0,5.0,5.0,6.0,6.0,7.0,8.0,6.0,4.0,2.0,4.0,4.0,2.0,3.0,2.0,2.0,1.0,1.0,7.0,7.0,7.0,7.0,6.0,6.0,6.0
6821e5ea575dc75aa1b95a01,25.0,1.0,1.0,4.0,4.0,1.0,10.0,7.0,1.0,1.0,10.0,10.0,10.0,10.0,10.0,6.0,1.0,1.0,5.0,4.0,1.0,1.0,1.0,4.0,5.0,7.0,10.0,10.0,7.0,7.0,5.0,10.0,1.0,10.0,10.0,7.0,8.0,5.0,7.0,10.0,8.0,8.0,8.0,10.0,7.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,10.0,5.0,10.0,2.0,10.0
6821bc6328ba9f2e9c38dd94,19.0,2.0,2.0,4.0,2.0,2.0,2.0,7.0,1.0,2.0,5.0,5.0,5.0,9.0,5.0,8.0,4.0,3.0,9.0,4.0,6.0,5.0,1.0,4.0,9.0,10.0,8.0,7.0,4.0,2.0,10.0,0.0,2.0,8.0,9.0,2.0,9.0,10.0,10.0,10.0,6.0,10.0,4.0,5.0,7.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,10.0,5.0,10.0,7.0,9.0
681cf9af4cc07607d7c60f08,19.0,1.0,1.0,3.0,3.0,1.0,10.0,7.0,1.0,1.0,0.0,5.0,0.0,5.0,0.0,5.0,3.0,3.0,10.0,6.0,10.0,10.0,0.0,10.0,0.0,6.0,,10.0,,10.0,10.0,0.0,1.0,10.0,10.0,0.0,10.0,0.0,0.0,10.0,10.0,0.0,,10.0,10.0,2.0,1.0,1.0,2.0,1.0,1.0,0.0,0.0,,10.0,,10.0,10.0
681b3ce44ec18b143973a964,23.0,1.0,4.0,6.0,3.0,3.0,4.0,2.0,3.0,3.0,4.0,0.0,3.0,1.0,4.0,3.0,5.0,4.0,6.0,0.0,2.0,3.0,1.0,4.0,3.0,1.0,6.0,6.0,5.0,3.0,4.0,5.0,2.0,4.0,1.0,3.0,3.0,2.0,2.0,1.0,5.0,6.0,5.0,3.0,1.0,4.0,4.0,5.0,4.0,4.0,4.0,1.0,1.0,3.0,1.0,4.0,4.0,1.0
680c06942b8d3e4048c121c4,28.0,1.0,3.0,8.0,2.0,1.0,7.0,3.0,1.0,2.0,2.0,5.0,1.0,7.0,2.0,7.0,2.0,2.0,3.0,1.0,0.0,0.0,5.0,8.0,10.0,4.0,6.0,3.0,2.0,,9.0,7.0,1.0,8.0,10.0,0.0,0.0,3.0,10.0,7.0,0.0,6.0,0.0,8.0,10.0,2.0,2.0,1.0,2.0,2.0,1.0,0.0,0.0,0.0,9.0,7.0,8.0,10.0
6821e21828ba9f2e9c38e729,21.0,1.0,1.0,4.0,2.0,1.0,9.0,2.0,1.0,1.0,5.0,2.0,8.0,10.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,4.0,0.0,8.0,6.0,10.0,8.0,10.0,5.0,2.0,10.0,0.0,2.0,7.0,10.0,5.0,10.0,10.0,8.0,10.0,5.0,6.0,5.0,0.0,8.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,5.0,8.0,3.0,4.0,9.0
6821e4ce575dc75aa1b94542,21.0,2.0,2.0,4.0,2.0,1.0,3.0,3.0,1.0,1.0,5.0,3.0,8.0,8.0,4.0,6.0,2.0,1.0,4.0,1.0,3.0,9.0,2.0,5.0,8.0,9.0,8.0,8.0,0.0,9.0,9.0,0.0,1.0,8.0,,0.0,0.0,3.0,6.0,10.0,4.0,7.0,1.0,3.0,8.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,4.0,0.0,5.0,8.0,7.0
681b3db84ec18b143973aa0b,20.0,1.0,2.0,4.0,6.0,1.0,4.0,2.0,5.0,3.0,5.0,5.0,5.0,5.0,5.0,5.0,3.0,2.0,5.0,4.0,8.0,9.0,4.0,2.0,2.0,7.0,6.0,9.0,1.0,10.0,5.0,10.0,1.0,7.0,10.0,0.0,1.0,4.0,2.0,10.0,5.0,0.0,1.0,8.0,6.0,2.0,1.0,2.0,2.0,1.0,1.0,0.0,0.0,4.0,7.0,5.0,7.0,10.0
681b4929825adf3cfd09d683,29.0,1.0,1.0,7.0,3.0,1.0,4.0,0.0,1.0,1.0,5.0,5.0,5.0,5.0,5.0,5.0,1.0,1.0,5.0,3.0,3.0,0.0,0.0,3.0,0.0,5.0,10.0,10.0,0.0,10.0,10.0,0.0,1.0,8.0,10.0,0.0,4.0,6.0,5.0,10.0,5.0,0.0,0.0,10.0,10.0,1.0,2.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,10.0,8.0,8.0,10.0
681ca83a30e2084bbe93b00d,20.0,1.0,2.0,4.0,2.0,1.0,1.0,4.0,1.0,3.0,3.0,6.0,5.0,4.0,5.0,1.0,3.0,3.0,6.0,5.0,6.0,4.0,3.0,8.0,4.0,5.0,3.0,10.0,0.0,10.0,4.0,1.0,1.0,5.0,5.0,2.0,0.0,0.0,0.0,10.0,4.0,4.0,5.0,7.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,6.0,5.0,3.0,3.0,0.0
6821e31a575dc75aa1b91cc1,26.0,2.0,1.0,8.0,4.0,1.0,5.0,7.0,4.0,1.0,5.0,0.0,5.0,10.0,8.0,10.0,3.0,3.0,8.0,9.0,7.0,9.0,0.0,5.0,8.0,8.0,,,3.0,0.0,10.0,,2.0,7.0,9.0,,,8.0,9.0,10.0,,10.0,,10.0,5.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,,,10.0,5.0,8.0
681beb2a30e2084bbe9399a7,18.0,2.0,2.0,4.0,2.0,1.0,2.0,8.0,2.0,3.0,2.0,3.0,1.0,1.0,2.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,10.0,10.0,8.0,10.0,0.0,10.0,1.0,10.0,10.0,0.0,0.0,0.0,6.0,10.0,0.0,0.0,0.0,10.0,10.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,5.0,0.0,4.0,10.0,10.0
